813,407
814,437
817,468
825,497
837,522
857,544
882,559
908,571
937,575
965,571
989,558
1010,539
1025,517
1033,489
1037,460
1040,431
1040,404
844,374
860,360
881,357
902,363
920,373
953,373
970,364
988,358
1007,359
1021,372
937,397
938,414
938,430
939,447
913,463
926,465
938,468
950,466
962,464
870,401
881,396
894,396
904,403
893,406
880,405
966,403
976,395
989,395
999,400
990,404
978,405
896,504
910,490
925,483
937,487
949,484
964,492
976,507
963,521
949,528
936,529
923,528
909,521
901,504
925,495
937,496
949,496
970,506
948,512
936,513
924,511
