885,413
876,446
872,482
875,516
884,549
897,580
912,609
933,631
959,642
985,640
1011,623
1036,602
1059,578
1079,551
1094,521
1105,491
1109,461
925,380
945,375
965,375
984,380
1001,392
1055,402
1070,396
1086,397
1100,404
1108,417
1020,435
1018,459
1015,483
1012,507
979,514
991,520
1003,527
1014,526
1023,524
936,418
954,413
972,418
981,434
966,434
949,429
1046,446
1064,436
1080,437
1089,448
1079,453
1063,451
933,549
955,537
979,536
992,541
1007,540
1020,548
1027,564
1011,583
994,593
978,594
964,591
944,577
938,550
975,547
989,550
1003,552
1020,563
999,577
983,578
970,575
