927,357
928,407
933,458
940,505
955,548
980,588
1010,621
1044,651
1085,661
1128,655
1167,630
1201,597
1229,556
1247,512
1259,464
1267,412
1271,362
948,332
972,317
1003,319
1032,327
1060,343
1121,341
1151,325
1183,318
1217,319
1243,340
1089,386
1088,421
1086,455
1084,489
1055,506
1070,512
1085,515
1101,513
1117,508
979,384
999,373
1025,376
1046,397
1022,402
996,400
1137,397
1159,378
1186,376
1206,387
1189,403
1162,405
1026,547
1046,538
1070,532
1086,537
1104,533
1129,541
1153,550
1129,574
1104,586
1084,587
1066,583
1044,569
1037,547
1069,550
1086,554
1104,552
1142,551
1103,558
1084,560
1067,556
