867,480
868,545
869,610
876,672
901,727
946,773
999,809
1053,836
1104,842
1145,830
1175,792
1202,754
1227,712
1244,667
1259,623
1271,580
1276,534
959,466
1001,453
1047,456
1089,468
1130,488
1183,499
1210,489
1238,485
1264,483
1281,497
1153,530
1157,567
1162,604
1167,642
1102,659
1124,667
1147,676
1166,672
1183,663
1008,515
1038,514
1062,514
1080,527
1057,529
1033,526
1188,538
1212,531
1233,533
1248,540
1230,545
1209,542
1038,713
1080,709
1117,707
1138,714
1154,709
1171,713
1184,716
1164,745
1147,763
1129,765
1106,762
1074,747
1051,716
1114,724
1135,727
1151,725
1174,719
1149,732
1133,735
1111,733
